InvoiceNo,ProdID,CustomerID
5725,6256,403-58-3236
4166,6256,327-35-1745
2236,6256,453-97-7767
3141,6256,837-20-6081
5991,6256,638-61-2670
9338,6256,778-25-5244
3994,69,898-58-2224
8380,69,388-36-9149
1003,69,708-33-4014
2290,69,675-34-3520
2890,8123,192-37-7603
7972,318,814-82-9027
2360,318,794-91-7301
4575,318,227-88-6557
7011,318,347-71-7484
6664,318,452-39-8359
6107,318,497-96-5153
4517,318,396-10-6852
3901,44221,573-41-2556
7901,6955,628-58-3153
6555,489,673-82-0535
9700,204,324-81-7261
1956,5373,481-92-9819
1610,5373,671-49-8074
5660,5373,311-72-3390
6642,5373,121-97-1579
6252,5373,673-41-5361
8870,5373,547-68-8122
5825,21,382-57-3773
8307,494,478-45-3592
6764,5373,312-24-9100
1555,14854,269-88-3076
5793,218,852-68-9525
7813,81716,542-80-6085
1904,4001,540-01-1102
5650,488,634-24-2449
6908,87842,515-85-4019
1598,3279,669-34-5733
5619,625,421-59-5510
7142,86,746-35-8155
9000,5607,515-89-9313
3700,22,367-69-0207
6370,50,519-94-7385
3532,89,351-19-7170
3245,67465,539-55-4846
9374,5101,461-89-2577
6999,389,764-21-8453
7627,597,145-37-5144
3968,195,182-95-7993
2484,44,306-91-5827
4487,199,132-96-6308
9488,3318,144-67-8956
1858,78042,569-39-9534
1228,656,119-50-2166
7657,844,344-10-2691
1600,7274,673-86-2541
3725,99,760-13-0412
8179,78268,694-22-5861
8806,421,599-08-8468
4407,604,790-99-3981
2296,9671,215-57-9209
3111,2831,256-32-3215
3668,25604,817-88-1583
5781,49,864-07-3574
8685,12,789-73-0575
7723,131,600-97-3730
6807,148,340-42-7669
8222,3748,716-56-4315
9268,7507,884-02-7172
1135,B0009N5L7K,544-16-0705
8569,B000SKTZ0S,229-03-2504
9729,B001AO4OUC,263-86-9105
6200,B001DCJAJG,271-95-7646
8621,B001GQ3DJM,162-24-7451
6703,B0029F2O3A,431-77-7503
2869,B002AS9WEA,148-43-3925
2172,B002UHS0UI,365-58-5916
8413,B002WTC1NG,683-21-8564
9622,B0033SFV5A,208-28-0969
3599,B003FCO9XE,281-81-4250
1284,B003P2VNAQ,350-48-3082
3167,B003W646YK,727-74-0099
8194,B003XREZ4O,882-28-8183
